	black_rockcod.fa	stickleback
OG0010873	XP_010782854.1	ENSGACP00000023152.1
OG0010874	XP_010782855.1	ENSGACP00000023154.1
OG0010875	XP_010782857.1	ENSGACP00000023158.1
OG0010876	XP_010782858.1	ENSGACP00000023160.2
OG0010877	XP_010782865.1	ENSGACP00000023191.1
OG0010878	XP_010782866.1	ENSGACP00000023203.1
OG0010879	XP_010782869.1	ENSGACP00000022876.1
OG0010880	XP_010782872.1	ENSGACP00000022869.1
OG0010881	XP_010782873.1	ENSGACP00000022866.1
OG0010882	XP_010782878.1	ENSGACP00000012973.1
OG0010883	XP_010782879.1	ENSGACP00000023214.1
OG0010884	XP_010782881.1	ENSGACP00000012624.1
OG0010885	XP_010782883.1	ENSGACP00000026475.1
OG0010886	XP_010782888.1	ENSGACP00000022864.1
OG0010887	XP_010782889.1	ENSGACP00000022882.1
OG0010888	XP_010782890.1	ENSGACP00000023188.1
OG0010889	XP_010782891.1	ENSGACP00000023460.2
OG0010890	XP_010782896.1	ENSGACP00000021103.1
OG0010891	XP_010782901.1	ENSGACP00000021313.1
OG0010892	XP_010782906.1	ENSGACP00000021187.1
OG0010893	XP_010782914.1	ENSGACP00000021174.1
OG0010894	XP_010782916.1	ENSGACP00000021172.1
OG0010895	XP_010782921.1	ENSGACP00000021633.1
OG0010896	XP_010782924.1	ENSGACP00000021647.1
OG0010897	XP_010782925.1	ENSGACP00000001367.1
OG0010898	XP_010782926.1	ENSGACP00000001368.1
OG0010899	XP_010782927.1	ENSGACP00000001370.1
OG0010900	XP_010782938.1	ENSGACP00000001687.1
OG0010901	XP_010782939.1	ENSGACP00000001691.1
OG0010902	XP_010782940.1	ENSGACP00000001694.1
OG0010903	XP_010782949.1	ENSGACP00000004640.1
OG0010904	XP_010782955.1	ENSGACP00000016887.1
OG0010905	XP_010782956.1	ENSGACP00000000142.1
OG0010906	XP_010782957.1	ENSGACP00000021002.1
OG0010907	XP_010782958.1	ENSGACP00000009338.1
OG0010908	XP_010782962.1	ENSGACP00000013626.1
OG0010909	XP_010782965.1	ENSGACP00000011783.1
OG0010910	XP_010782968.1	ENSGACP00000003326.1
OG0010911	XP_010782970.1	ENSGACP00000005526.1
OG0010912	XP_010782973.1	ENSGACP00000005401.1
OG0010913	XP_010782974.1	ENSGACP00000006297.1
OG0010914	XP_010782975.1	ENSGACP00000021097.1
OG0010915	XP_010782977.1	ENSGACP00000003900.1
OG0010916	XP_010782993.1	ENSGACP00000003907.1
OG0010917	XP_010782996.1	ENSGACP00000024333.1
OG0010918	XP_010782999.1	ENSGACP00000003186.1
OG0010919	XP_010783000.1	ENSGACP00000002959.1
OG0010920	XP_010783003.1	ENSGACP00000004652.1
OG0010921	XP_010783005.1	ENSGACP00000004664.1
OG0010922	XP_010783007.1	ENSGACP00000004699.1
OG0010923	XP_010783008.1	ENSGACP00000004708.1
OG0010924	XP_010783011.1	ENSGACP00000004617.1
OG0010925	XP_010783012.1	ENSGACP00000004622.1
OG0010926	XP_010783016.1	ENSGACP00000021312.1
OG0010927	XP_010783019.1	ENSGACP00000021182.1
OG0010928	XP_010783022.1	ENSGACP00000001372.1
OG0010929	XP_010783025.1	ENSGACP00000020214.1
OG0010930	XP_010783034.1	ENSGACP00000021003.1
OG0010931	XP_010783035.1	ENSGACP00000021004.1
OG0010932	XP_010783036.1	ENSGACP00000019118.1
OG0010933	XP_010783038.1	ENSGACP00000026590.1
OG0010934	XP_010783039.1	ENSGACP00000021005.2
OG0010935	XP_010783042.1	ENSGACP00000021092.1
OG0010936	XP_010783043.1	ENSGACP00000006307.2
OG0010937	XP_010783045.1	ENSGACP00000015058.1
OG0010938	XP_010783047.1	ENSGACP00000021627.1
OG0010939	XP_010783048.1	ENSGACP00000009670.1
OG0010940	XP_010783051.1	ENSGACP00000024449.1
OG0010941	XP_010783059.1	ENSGACP00000013641.3
OG0010942	XP_010783060.1	ENSGACP00000013656.1
OG0010943	XP_010783065.1	ENSGACP00000019484.1
OG0010944	XP_010783071.1	ENSGACP00000002520.1
OG0010945	XP_010783072.1	ENSGACP00000001726.1
OG0010946	XP_010783075.1	ENSGACP00000022014.1
OG0010947	XP_010783077.1	ENSGACP00000021992.1
OG0010948	XP_010783080.1	ENSGACP00000022025.1
OG0010949	XP_010783081.1	ENSGACP00000021999.1
OG0010950	XP_010783082.1	ENSGACP00000021984.1
OG0010951	XP_010783084.1	ENSGACP00000007913.1
OG0010952	XP_010783088.1	ENSGACP00000012126.1
OG0010953	XP_010783089.1	ENSGACP00000012120.1
OG0010954	XP_010783095.1	ENSGACP00000012089.1
OG0010955	XP_010783099.1	ENSGACP00000009971.1
OG0010956	XP_010783114.1	ENSGACP00000021075.1
OG0010957	XP_010783123.1	ENSGACP00000021704.1
OG0010958	XP_010783129.1	ENSGACP00000008882.2
OG0010959	XP_010783132.1	ENSGACP00000022086.1
OG0010960	XP_010783134.1	ENSGACP00000005157.1
OG0010961	XP_010783136.1	ENSGACP00000017838.1
OG0010962	XP_010783137.1	ENSGACP00000003276.1
OG0010963	XP_010783139.1	ENSGACP00000002529.1
OG0010964	XP_010783142.1	ENSGACP00000002537.1
OG0010965	XP_010783146.1	ENSGACP00000017346.1
OG0010966	XP_010783147.1	ENSGACP00000017349.1
OG0010967	XP_010783150.1	ENSGACP00000017382.1
OG0010968	XP_010783152.1	ENSGACP00000017407.1
OG0010969	XP_010783153.1	ENSGACP00000017397.1
OG0010970	XP_010783154.1	ENSGACP00000017411.1
OG0010971	XP_010783166.1	ENSGACP00000017471.1
OG0010972	XP_010783171.1	ENSGACP00000017494.1
OG0010973	XP_010783176.1	ENSGACP00000017322.1
OG0010974	XP_010783178.1	ENSGACP00000009353.1
OG0010975	XP_010783179.1	ENSGACP00000017490.1
OG0010976	XP_010783180.1	ENSGACP00000027530.1
OG0010977	XP_010783183.1	ENSGACP00000027531.1
OG0010978	XP_010783185.1	ENSGACP00000027534.1
OG0010979	XP_010783188.1	ENSGACP00000025516.1
OG0010980	XP_010783189.1	ENSGACP00000012261.2
OG0010981	XP_010783197.1	ENSGACP00000015143.1
OG0010982	XP_010783198.1	ENSGACP00000000965.1
OG0010983	XP_010783210.1	ENSGACP00000006741.1
OG0010984	XP_010783212.1	ENSGACP00000006719.1
OG0010985	XP_010783213.1	ENSGACP00000025514.1
OG0010986	XP_010783214.1	ENSGACP00000025518.1
OG0010987	XP_010783215.1	ENSGACP00000025525.1
OG0010988	XP_010783216.1	ENSGACP00000006866.1
OG0010989	XP_010783219.1	ENSGACP00000000645.2
OG0010990	XP_010783220.1	ENSGACP00000004647.1
OG0010991	XP_010783226.1	ENSGACP00000006278.1
OG0010992	XP_010783229.1	ENSGACP00000020065.1
OG0010993	XP_010783233.1	ENSGACP00000003865.1
OG0010994	XP_010783235.1	ENSGACP00000019394.1
OG0010995	XP_010783239.1	ENSGACP00000020288.1
OG0010996	XP_010783245.1	ENSGACP00000004483.1
OG0010997	XP_010783247.1	ENSGACP00000001123.1
OG0010998	XP_010783252.1	ENSGACP00000013629.1
OG0010999	XP_010783253.1	ENSGACP00000005263.1
OG0011000	XP_010783254.1	ENSGACP00000019311.1
OG0011001	XP_010783256.1	ENSGACP00000024053.1
OG0011002	XP_010783259.1	ENSGACP00000011417.1
OG0011003	XP_010783270.1	ENSGACP00000027003.1
OG0011004	XP_010783272.1	ENSGACP00000027008.1
OG0011005	XP_010783273.1	ENSGACP00000009706.1
OG0011006	XP_010783275.1	ENSGACP00000009718.1
OG0011007	XP_010783277.1	ENSGACP00000024863.1
OG0011008	XP_010783278.1	ENSGACP00000016134.1
OG0011009	XP_010783282.1	ENSGACP00000017112.1
OG0011010	XP_010783287.1	ENSGACP00000014306.1
OG0011011	XP_010783292.1	ENSGACP00000014379.1
OG0011012	XP_010783293.1	ENSGACP00000014338.1
OG0011013	XP_010783294.1	ENSGACP00000014394.1
OG0011014	XP_010783296.1	ENSGACP00000007052.1
OG0011015	XP_010783297.1	ENSGACP00000021926.1
OG0011016	XP_010783303.1	ENSGACP00000004117.1
OG0011017	XP_010783304.1	ENSGACP00000021923.1
OG0011018	XP_010783310.1	ENSGACP00000005729.1
OG0011019	XP_010783314.1	ENSGACP00000020549.1
OG0011020	XP_010783316.1	ENSGACP00000002317.1
OG0011021	XP_010783317.1	ENSGACP00000002323.1
OG0011022	XP_010783320.1	ENSGACP00000003189.1
OG0011023	XP_010783322.1	ENSGACP00000008683.1
OG0011024	XP_010783330.1	ENSGACP00000000280.1
OG0011025	XP_010783332.1	ENSGACP00000005780.1
OG0011026	XP_010783334.1	ENSGACP00000017036.1
OG0011027	XP_010783337.1	ENSGACP00000010055.1
OG0011028	XP_010783341.1	ENSGACP00000020976.1
OG0011029	XP_010783348.1	ENSGACP00000003835.1
OG0011030	XP_010783349.1	ENSGACP00000004296.1
OG0011031	XP_010783352.1	ENSGACP00000004022.1
OG0011032	XP_010783354.1	ENSGACP00000004017.1
OG0011033	XP_010783357.1	ENSGACP00000004116.1
OG0011034	XP_010783366.1	ENSGACP00000012896.1
OG0011035	XP_010783372.1	ENSGACP00000003176.1
OG0011036	XP_010783375.1	ENSGACP00000002355.2
OG0011037	XP_010783378.1	ENSGACP00000017204.1
OG0011038	XP_010783386.1	ENSGACP00000017243.1
OG0011039	XP_010783387.1	ENSGACP00000017245.1
OG0011040	XP_010783388.1	ENSGACP00000017278.1
OG0011041	XP_010783389.1	ENSGACP00000017297.2
OG0011042	XP_010783390.1	ENSGACP00000017942.1
OG0011043	XP_010783391.1	ENSGACP00000005707.1
OG0011044	XP_010783392.1	ENSGACP00000022168.1
OG0011045	XP_010783398.1	ENSGACP00000015507.1
OG0011046	XP_010783399.1	ENSGACP00000015492.1
OG0011047	XP_010783407.1	ENSGACP00000024289.1
OG0011048	XP_010783408.1	ENSGACP00000026682.1
OG0011049	XP_010783411.1	ENSGACP00000017001.1
OG0011050	XP_010783413.1	ENSGACP00000007364.1
OG0011051	XP_010783418.1	ENSGACP00000016965.1
OG0011052	XP_010783422.1	ENSGACP00000019674.1
OG0011053	XP_010783425.1	ENSGACP00000004858.1
OG0011054	XP_010783430.1	ENSGACP00000016899.1
OG0011055	XP_010783432.1	ENSGACP00000024629.1
OG0011056	XP_010783435.1	ENSGACP00000004925.1
OG0011057	XP_010783438.1	ENSGACP00000003069.1
OG0011058	XP_010783441.1	ENSGACP00000019142.1
OG0011059	XP_010783443.1	ENSGACP00000002208.1
OG0011060	XP_010783444.1	ENSGACP00000005349.1
OG0011061	XP_010783448.1	ENSGACP00000016173.1
OG0011062	XP_010783449.1	ENSGACP00000016181.1
OG0011063	XP_010783453.1	ENSGACP00000003517.1
OG0011064	XP_010783458.1	ENSGACP00000021876.1
OG0011065	XP_010783460.1	ENSGACP00000021885.1
OG0011066	XP_010783461.1	ENSGACP00000021898.1
OG0011067	XP_010783465.1	ENSGACP00000019293.1
OG0011068	XP_010783467.1	ENSGACP00000019530.1
OG0011069	XP_010783472.1	ENSGACP00000010592.1
OG0011070	XP_010783477.1	ENSGACP00000008567.1
OG0011071	XP_010783480.1	ENSGACP00000024666.1
OG0011072	XP_010783481.1	ENSGACP00000020160.1
OG0011073	XP_010783487.1	ENSGACP00000004078.1
OG0011074	XP_010783491.1	ENSGACP00000021863.1
OG0011075	XP_010783498.1	ENSGACP00000001177.1
OG0011076	XP_010783502.1	ENSGACP00000003577.1
OG0011077	XP_010783503.1	ENSGACP00000003573.1
OG0011078	XP_010783505.1	ENSGACP00000011327.1
OG0011079	XP_010783508.1	ENSGACP00000003367.1
OG0011080	XP_010783509.1	ENSGACP00000006539.1
OG0011081	XP_010783510.1	ENSGACP00000006545.1
OG0011082	XP_010783511.1	ENSGACP00000006535.1
OG0011083	XP_010783513.1	ENSGACP00000003815.1
OG0011084	XP_010783521.1	ENSGACP00000022580.1
OG0011085	XP_010783522.1	ENSGACP00000004503.1
OG0011086	XP_010783523.1	ENSGACP00000003483.1
OG0011087	XP_010783533.1	ENSGACP00000003190.1
OG0011088	XP_010783534.1	ENSGACP00000003185.1
OG0011089	XP_010783536.1	ENSGACP00000024730.1
OG0011090	XP_010783537.1	ENSGACP00000003602.1
OG0011091	XP_010783541.1	ENSGACP00000017250.1
OG0011092	XP_010783543.1	ENSGACP00000017263.2
OG0011093	XP_010783545.1	ENSGACP00000017154.1
OG0011094	XP_010783546.1	ENSGACP00000017140.1
OG0011095	XP_010783547.1	ENSGACP00000017131.1
OG0011096	XP_010783548.1	ENSGACP00000015871.2
OG0011097	XP_010783551.1	ENSGACP00000004150.1
OG0011098	XP_010783558.1	ENSGACP00000003539.1
OG0011099	XP_010783561.1	ENSGACP00000014541.1
OG0011100	XP_010783562.1	ENSGACP00000014527.1
OG0011101	XP_010783566.1	ENSGACP00000014966.1
OG0011102	XP_010783567.1	ENSGACP00000014421.1
OG0011103	XP_010783570.1	ENSGACP00000017905.1
OG0011104	XP_010783574.1	ENSGACP00000014638.1
OG0011105	XP_010783576.1	ENSGACP00000011454.1
OG0011106	XP_010783578.1	ENSGACP00000002079.1
OG0011107	XP_010783582.1	ENSGACP00000026061.1
OG0011108	XP_010783587.1	ENSGACP00000007488.1
OG0011109	XP_010783597.1	ENSGACP00000013612.1
OG0011110	XP_010783599.1	ENSGACP00000005830.1
OG0011111	XP_010783600.1	ENSGACP00000001175.1
OG0011112	XP_010783602.1	ENSGACP00000017593.1
OG0011113	XP_010783606.1	ENSGACP00000017633.1
OG0011114	XP_010783607.1	ENSGACP00000017659.1
OG0011115	XP_010783611.1	ENSGACP00000017566.1
OG0011116	XP_010783615.1	ENSGACP00000017515.1
OG0011117	XP_010783618.1	ENSGACP00000017509.1
OG0011118	XP_010783619.1	ENSGACP00000017491.1
OG0011119	XP_010783621.1	ENSGACP00000017477.1
OG0011120	XP_010783625.1	ENSGACP00000017696.1
OG0011121	XP_010783626.1	ENSGACP00000017662.1
OG0011122	XP_010783629.1	ENSGACP00000017512.1
OG0011123	XP_010783631.1	ENSGACP00000026919.1
OG0011124	XP_010783632.1	ENSGACP00000027597.1
OG0011125	XP_010783634.1	ENSGACP00000009958.1
OG0011126	XP_010783637.1	ENSGACP00000007358.1
OG0011127	XP_010783638.1	ENSGACP00000007323.1
OG0011128	XP_010783641.1	ENSGACP00000019425.1
OG0011129	XP_010783642.1	ENSGACP00000011791.1
OG0011130	XP_010783643.1	ENSGACP00000012192.1
OG0011131	XP_010783644.1	ENSGACP00000007442.1
OG0011132	XP_010783645.1	ENSGACP00000010391.1
OG0011133	XP_010783653.1	ENSGACP00000009215.1
OG0011134	XP_010783654.1	ENSGACP00000011775.1
OG0011135	XP_010783655.1	ENSGACP00000009221.1
OG0011136	XP_010783657.1	ENSGACP00000009253.1
OG0011137	XP_010783666.1	ENSGACP00000018643.1
OG0011138	XP_010783667.1	ENSGACP00000018953.1
OG0011139	XP_010783672.1	ENSGACP00000006174.1
OG0011140	XP_010783673.1	ENSGACP00000015966.1
OG0011141	XP_010783675.1	ENSGACP00000017904.1
OG0011142	XP_010783678.1	ENSGACP00000009576.1
OG0011143	XP_010783680.1	ENSGACP00000009610.1
OG0011144	XP_010783682.1	ENSGACP00000015974.1
OG0011145	XP_010783688.1	ENSGACP00000002733.1
OG0011146	XP_010783689.1	ENSGACP00000002739.1
OG0011147	XP_010783694.1	ENSGACP00000002740.1
OG0011148	XP_010783695.1	ENSGACP00000002821.1
OG0011149	XP_010783696.1	ENSGACP00000019338.1
OG0011150	XP_010783697.1	ENSGACP00000022092.1
OG0011151	XP_010783698.1	ENSGACP00000022087.1
OG0011152	XP_010783699.1	ENSGACP00000022074.1
OG0011153	XP_010783703.1	ENSGACP00000022078.1
OG0011154	XP_010783705.1	ENSGACP00000022066.1
OG0011155	XP_010783709.1	ENSGACP00000022060.1
OG0011156	XP_010783710.1	ENSGACP00000018869.1
OG0011157	XP_010783711.1	ENSGACP00000008959.1
OG0011158	XP_010783713.1	ENSGACP00000019435.1
OG0011159	XP_010783715.1	ENSGACP00000018974.1
OG0011160	XP_010783716.1	ENSGACP00000019422.1
OG0011161	XP_010783723.1	ENSGACP00000018860.1
OG0011162	XP_010783728.1	ENSGACP00000018871.1
OG0011163	XP_010783732.1	ENSGACP00000018865.1
OG0011164	XP_010783733.1	ENSGACP00000018885.1
OG0011165	XP_010783738.1	ENSGACP00000015884.1
OG0011166	XP_010783739.1	ENSGACP00000002096.1
OG0011167	XP_010783746.1	ENSGACP00000000615.1
OG0011168	XP_010783747.1	ENSGACP00000015817.1
OG0011169	XP_010783748.1	ENSGACP00000017565.1
OG0011170	XP_010783756.1	ENSGACP00000015774.1
OG0011171	XP_010783757.1	ENSGACP00000019900.1
OG0011172	XP_010783760.1	ENSGACP00000019898.1
OG0011173	XP_010783761.1	ENSGACP00000019892.1
OG0011174	XP_010783762.1	ENSGACP00000019883.1
OG0011175	XP_010783763.1	ENSGACP00000019878.1
OG0011176	XP_010783764.1	ENSGACP00000019871.1
OG0011177	XP_010783765.1	ENSGACP00000019889.1
OG0011178	XP_010783766.1	ENSGACP00000003843.1
OG0011179	XP_010783767.1	ENSGACP00000015741.1
OG0011180	XP_010783769.1	ENSGACP00000003876.1
OG0011181	XP_010783770.1	ENSGACP00000003887.1
OG0011182	XP_010783776.1	ENSGACP00000014481.1
OG0011183	XP_010783785.1	ENSGACP00000014458.1
OG0011184	XP_010783788.1	ENSGACP00000003869.1
OG0011185	XP_010783789.1	ENSGACP00000000151.1
OG0011186	XP_010783791.1	ENSGACP00000012179.1
OG0011187	XP_010783794.1	ENSGACP00000011063.1
OG0011188	XP_010783796.1	ENSGACP00000011078.1
OG0011189	XP_010783800.1	ENSGACP00000014831.1
OG0011190	XP_010783802.1	ENSGACP00000016606.1
OG0011191	XP_010783803.1	ENSGACP00000016600.1
OG0011192	XP_010783805.1	ENSGACP00000003518.1
OG0011193	XP_010783806.1	ENSGACP00000003514.1
OG0011194	XP_010783810.1	ENSGACP00000016588.1
OG0011195	XP_010783814.1	ENSGACP00000021201.1
OG0011196	XP_010783815.1	ENSGACP00000015983.1
OG0011197	XP_010783816.1	ENSGACP00000021183.1
OG0011198	XP_010783817.1	ENSGACP00000021189.1
OG0011199	XP_010783818.1	ENSGACP00000001160.1
OG0011200	XP_010783824.1	ENSGACP00000011474.1
OG0011201	XP_010783832.1	ENSGACP00000003316.1
OG0011202	XP_010783837.1	ENSGACP00000024733.1
OG0011203	XP_010783842.1	ENSGACP00000002888.1
OG0011204	XP_010783848.1	ENSGACP00000013722.1
OG0011205	XP_010783849.1	ENSGACP00000018147.1
OG0011206	XP_010783850.1	ENSGACP00000018142.1
OG0011207	XP_010783851.1	ENSGACP00000018125.1
OG0011208	XP_010783856.1	ENSGACP00000018122.1
OG0011209	XP_010783860.1	ENSGACP00000018108.1
OG0011210	XP_010783864.1	ENSGACP00000018020.1
OG0011211	XP_010783865.1	ENSGACP00000018049.1
OG0011212	XP_010783866.1	ENSGACP00000018053.1
OG0011213	XP_010783867.1	ENSGACP00000018149.1
OG0011214	XP_010783872.1	ENSGACP00000014344.1
OG0011215	XP_010783875.1	ENSGACP00000012489.1
OG0011216	XP_010783876.1	ENSGACP00000019332.1
OG0011217	XP_010783877.1	ENSGACP00000016149.1
OG0011218	XP_010783878.1	ENSGACP00000016775.1
OG0011219	XP_010783881.1	ENSGACP00000016701.1
OG0011220	XP_010783883.1	ENSGACP00000003950.1
OG0011221	XP_010783885.1	ENSGACP00000004193.2
OG0011222	XP_010783892.1	ENSGACP00000027432.1
OG0011223	XP_010783904.1	ENSGACP00000003910.1
OG0011224	XP_010783905.1	ENSGACP00000007600.1
OG0011225	XP_010783906.1	ENSGACP00000020201.1
OG0011226	XP_010783909.1	ENSGACP00000008538.1
OG0011227	XP_010783911.1	ENSGACP00000008553.1
OG0011228	XP_010783912.1	ENSGACP00000015320.1
OG0011229	XP_010783913.1	ENSGACP00000014973.1
OG0011230	XP_010783915.1	ENSGACP00000003888.2
OG0011231	XP_010783927.1	ENSGACP00000008007.1
OG0011232	XP_010783930.1	ENSGACP00000017098.1
OG0011233	XP_010783931.1	ENSGACP00000012223.1
OG0011234	XP_010783934.1	ENSGACP00000009120.1
OG0011235	XP_010783936.1	ENSGACP00000008013.1
OG0011236	XP_010783943.1	ENSGACP00000026808.1
OG0011237	XP_010783945.1	ENSGACP00000026804.1
OG0011238	XP_010783948.1	ENSGACP00000008016.1
OG0011239	XP_010783953.1	ENSGACP00000022844.1
OG0011240	XP_010783954.1	ENSGACP00000022829.1
OG0011241	XP_010783966.1	ENSGACP00000022793.1
OG0011242	XP_010783967.1	ENSGACP00000022791.1
OG0011243	XP_010783969.1	ENSGACP00000022786.1
OG0011244	XP_010783973.1	ENSGACP00000022735.1
OG0011245	XP_010783974.1	ENSGACP00000022729.1
OG0011246	XP_010783975.1	ENSGACP00000022734.1
OG0011247	XP_010783978.1	ENSGACP00000022728.1
OG0011248	XP_010783980.1	ENSGACP00000022707.1
OG0011249	XP_010783991.1	ENSGACP00000022691.1
OG0011250	XP_010783992.1	ENSGACP00000022689.1
OG0011251	XP_010783997.1	ENSGACP00000026803.1
OG0011252	XP_010784001.1	ENSGACP00000022686.1
OG0011253	XP_010784005.1	ENSGACP00000022784.1
OG0011254	XP_010784006.1	ENSGACP00000022852.1
OG0011255	XP_010784010.1	ENSGACP00000025173.2
OG0011256	XP_010784011.1	ENSGACP00000011465.1
OG0011257	XP_010784012.1	ENSGACP00000011446.1
OG0011258	XP_010784013.1	ENSGACP00000011407.1
OG0011259	XP_010784017.1	ENSGACP00000010343.1
OG0011260	XP_010784018.1	ENSGACP00000010378.1
OG0011261	XP_010784019.1	ENSGACP00000017195.1
OG0011262	XP_010784021.1	ENSGACP00000002612.1
OG0011263	XP_010784022.1	ENSGACP00000002616.1
OG0011264	XP_010784023.1	ENSGACP00000010271.1
OG0011265	XP_010784025.1	ENSGACP00000000319.1
OG0011266	XP_010784026.1	ENSGACP00000014970.1
OG0011267	XP_010784027.1	ENSGACP00000010304.1
OG0011268	XP_010784030.1	ENSGACP00000010397.1
OG0011269	XP_010784035.1	ENSGACP00000010439.1
OG0011270	XP_010784036.1	ENSGACP00000010467.1
OG0011271	XP_010784038.1	ENSGACP00000018536.2
OG0011272	XP_010784040.1	ENSGACP00000003119.1
OG0011273	XP_010784042.1	ENSGACP00000003108.1
OG0011274	XP_010784050.1	ENSGACP00000008606.1
OG0011275	XP_010784060.1	ENSGACP00000014755.1
OG0011276	XP_010784061.1	ENSGACP00000014788.1
OG0011277	XP_010784064.1	ENSGACP00000014760.1
OG0011278	XP_010784067.1	ENSGACP00000014790.1
OG0011279	XP_010784071.1	ENSGACP00000025306.1
OG0011280	XP_010784072.1	ENSGACP00000017743.1
OG0011281	XP_010784073.1	ENSGACP00000019192.1
OG0011282	XP_010784077.1	ENSGACP00000021866.1
OG0011283	XP_010784091.1	ENSGACP00000010520.1
OG0011284	XP_010784095.1	ENSGACP00000018631.1
OG0011285	XP_010784097.1	ENSGACP00000006045.1
OG0011286	XP_010784099.1	ENSGACP00000004097.1
OG0011287	XP_010784100.1	ENSGACP00000004082.1
OG0011288	XP_010784105.1	ENSGACP00000011552.1
OG0011289	XP_010784108.1	ENSGACP00000011423.1
OG0011290	XP_010784112.1	ENSGACP00000011410.1
OG0011291	XP_010784113.1	ENSGACP00000006763.1
OG0011292	XP_010784115.1	ENSGACP00000006163.1
OG0011293	XP_010784116.1	ENSGACP00000006158.1
OG0011294	XP_010784122.1	ENSGACP00000025408.1
OG0011295	XP_010784125.1	ENSGACP00000005715.1
OG0011296	XP_010784126.1	ENSGACP00000003840.1
OG0011297	XP_010784131.1	ENSGACP00000001125.1
OG0011298	XP_010784134.1	ENSGACP00000015605.1
OG0011299	XP_010784137.1	ENSGACP00000023955.1
OG0011300	XP_010784140.1	ENSGACP00000023952.1
OG0011301	XP_010784144.1	ENSGACP00000005753.1
OG0011302	XP_010784146.1	ENSGACP00000017962.1
OG0011303	XP_010784147.1	ENSGACP00000020463.1
OG0011304	XP_010784149.1	ENSGACP00000020268.1
OG0011305	XP_010784150.1	ENSGACP00000014781.1
OG0011306	XP_010784151.1	ENSGACP00000010798.1
OG0011307	XP_010784152.1	ENSGACP00000010761.1
OG0011308	XP_010784154.1	ENSGACP00000010676.1
OG0011309	XP_010784156.1	ENSGACP00000010640.1
OG0011310	XP_010784157.1	ENSGACP00000010614.1
OG0011311	XP_010784158.1	ENSGACP00000010603.1
OG0011312	XP_010784160.1	ENSGACP00000020269.1
OG0011313	XP_010784162.1	ENSGACP00000010646.1
OG0011314	XP_010784163.1	ENSGACP00000021862.1
OG0011315	XP_010784164.1	ENSGACP00000021887.1
OG0011316	XP_010784171.1	ENSGACP00000021875.1
OG0011317	XP_010784184.1	ENSGACP00000022133.1
OG0011318	XP_010784190.1	ENSGACP00000024396.1
OG0011319	XP_010784191.1	ENSGACP00000022089.1
OG0011320	XP_010784192.1	ENSGACP00000022112.1
OG0011321	XP_010784196.1	ENSGACP00000024394.1
OG0011322	XP_010784199.1	ENSGACP00000012136.1
OG0011323	XP_010784200.1	ENSGACP00000011657.1
OG0011324	XP_010784201.1	ENSGACP00000011662.1
OG0011325	XP_010784205.1	ENSGACP00000025278.1
OG0011326	XP_010784208.1	ENSGACP00000017686.1
OG0011327	XP_010784213.1	ENSGACP00000025265.1
OG0011328	XP_010784215.1	ENSGACP00000025255.1
OG0011329	XP_010784216.1	ENSGACP00000000414.1
OG0011330	XP_010784218.1	ENSGACP00000000411.1
OG0011331	XP_010784220.1	ENSGACP00000005710.1
OG0011332	XP_010784221.1	ENSGACP00000011823.1
OG0011333	XP_010784222.1	ENSGACP00000011756.1
OG0011334	XP_010784223.1	ENSGACP00000011765.1
OG0011335	XP_010784224.1	ENSGACP00000024697.1
OG0011336	XP_010784231.1	ENSGACP00000024725.1
OG0011337	XP_010784232.1	ENSGACP00000024726.1
OG0011338	XP_010784234.1	ENSGACP00000026455.1
OG0011339	XP_010784236.1	ENSGACP00000026445.1
OG0011340	XP_010784239.1	ENSGACP00000015457.1
OG0011341	XP_010784240.1	ENSGACP00000001116.1
OG0011342	XP_010784244.1	ENSGACP00000008098.1
OG0011343	XP_010784251.1	ENSGACP00000022061.1
OG0011344	XP_010784267.1	ENSGACP00000026154.1
OG0011345	XP_010784268.1	ENSGACP00000015189.1
OG0011346	XP_010784275.1	ENSGACP00000019702.1
OG0011347	XP_010784276.1	ENSGACP00000019703.1
OG0011348	XP_010784279.1	ENSGACP00000006146.1
OG0011349	XP_010784292.1	ENSGACP00000014740.1
OG0011350	XP_010784295.1	ENSGACP00000014399.1
OG0011351	XP_010784296.1	ENSGACP00000014393.1
OG0011352	XP_010784303.1	ENSGACP00000012542.1
OG0011353	XP_010784304.1	ENSGACP00000012196.1
OG0011354	XP_010784305.1	ENSGACP00000012189.1
OG0011355	XP_010784317.1	ENSGACP00000020561.1
OG0011356	XP_010784320.1	ENSGACP00000018733.2
OG0011357	XP_010784331.1	ENSGACP00000019474.1
OG0011358	XP_010784333.1	ENSGACP00000022441.1
OG0011359	XP_010784337.1	ENSGACP00000005334.1
OG0011360	XP_010784341.1	ENSGACP00000014521.1
OG0011361	XP_010784346.1	ENSGACP00000004180.1
OG0011362	XP_010784347.1	ENSGACP00000009969.1
OG0011363	XP_010784351.1	ENSGACP00000023448.1
OG0011364	XP_010784352.1	ENSGACP00000016116.1
OG0011365	XP_010784355.1	ENSGACP00000000919.1
OG0011366	XP_010784364.1	ENSGACP00000020503.1
OG0011367	XP_010784365.1	ENSGACP00000010536.1
OG0011368	XP_010784366.1	ENSGACP00000002092.1
OG0011369	XP_010784368.1	ENSGACP00000002877.1
OG0011370	XP_010784369.1	ENSGACP00000009452.1
OG0011371	XP_010784378.1	ENSGACP00000026633.1
